epci,Aspects,Count
244900809,Economies d'énergie,17.7777777777778
244900809,Energies renouvelables,8.88888888888889
244900809,Qualité de l'air,4.44444444444444
244900809,Qualité de l'eau,4.44444444444444
244900809,Qualité des matériaux,22.2222222222222
244400552,Accessibilité,5
244400552,Autre,5
244400552,Déchets,20
244400552,Eco-construction,5
244400552,Economies d'énergie,35
244400552,Energies renouvelables,10
244400552,Qualité des matériaux,20
200072726,Accessibilité,5.55555555555556
200072726,Déchets,19.4444444444444
200072726,Eco-construction,8.33333333333333
200072726,Economies d'énergie,19.4444444444444
200072726,Energies renouvelables,8.33333333333333
200072726,Qualité de l'air,8.33333333333333
200072726,Qualité de l'eau,2.77777777777778
200072726,Qualité des matériaux,27.7777777777778
244400404,Accessibilité,9.44881889763779
244400404,Assainissement,3.1496062992126
244400404,Déchets,15.748031496063
244400404,Eco-construction,6.2992125984252
244400404,Economies d'énergie,24.4094488188976
244400404,Energies renouvelables,13.3858267716535
244400404,Qualité de l'air,2.36220472440945
244400404,Qualité de l'eau,5.51181102362205
244400404,Qualité des matériaux,19.6850393700787
244400644,Accessibilité,4.83870967741935
244400644,Assainissement,1.61290322580645
244400644,Déchets,14.5161290322581
244400644,Eco-construction,8.06451612903226
244400644,Economies d'énergie,24.1935483870968
244400644,Energies renouvelables,14.5161290322581
244400644,Qualité de l'air,6.45161290322581
244400644,Qualité de l'eau,3.2258064516129
244400644,Qualité des matériaux,22.5806451612903
243500741,Accessibilité,5.26315789473684
243500741,Déchets,10.5263157894737
243500741,Eco-construction,5.26315789473684
243500741,Economies d'énergie,31.5789473684211
243500741,Energies renouvelables,15.7894736842105
243500741,Qualité des matériaux,31.5789473684211
200000438,Déchets,10
200000438,Eco-construction,15
200000438,Economies d'énergie,30
200000438,Energies renouvelables,15
200000438,Qualité des matériaux,30
200067866,Assainissement,4.16666666666667
200067866,Déchets,12.5
200067866,Eco-construction,4.16666666666667
200067866,Economies d'énergie,25
200067866,Energies renouvelables,4.16666666666667
200067866,Qualité de l'air,4.16666666666667
200067866,Qualité de l'eau,4.16666666666667
200067866,Qualité des matériaux,41.6666666666667
200067346,Accessibilité,6
200067346,Déchets,16
200067346,Eco-construction,10
200067346,Economies d'énergie,26
200067346,Energies renouvelables,14
200067346,Qualité de l'air,2
200067346,Qualité des matériaux,26
244400503,Accessibilité,5.66037735849057
244400503,Assainissement,1.88679245283019
244400503,Autre,1.88679245283019
244400503,Déchets,9.43396226415094
244400503,Eco-construction,5.66037735849057
244400503,Economies d'énergie,20.7547169811321
244400503,Energies renouvelables,20.7547169811321
244400503,Qualité de l'air,5.66037735849057
