V1,V2,V3
248500662,maçonnerie-carrelage&A la hausse&Intérimaires,0
248500662,maçonnerie-carrelage&Stable&CDD,0
248500662,maçonnerie-carrelage&Stable&CDI,6
248500662,maçonnerie-carrelage&Stable&Apprentis,1.25
248500662,maçonnerie-carrelage&Stable&Intérimaires,0
248500662,Peinture&A la hausse&CDD,0
248500662,Peinture&A la hausse&CDI,0
248500662,Peinture&A la hausse&Apprentis,0
248500662,Peinture&A la hausse&Intérimaires,0
248500662,Peinture&Stable&CDD,1
248500662,Peinture&Stable&CDI,2.5
248500662,Peinture&Stable&Apprentis,1.5
248500662,Peinture&Stable&Intérimaires,0
248500662,Electricité&Stable&CDD,0
248500662,Electricité&Stable&CDI,0
248500662,Electricité&Stable&Apprentis,0
248500662,Electricité&Stable&Intérimaires,0
248500662,plâtrerie-isolation&Stable&CDD,0
248500662,plâtrerie-isolation&Stable&CDI,8
248500662,plâtrerie-isolation&Stable&Apprentis,1
248500662,plâtrerie-isolation&Stable&Intérimaires,0
248500464,plomberie-chauffage-couverture&Stable&CDD,0
248500464,plomberie-chauffage-couverture&Stable&CDI,2.33333333333333
248500464,plomberie-chauffage-couverture&Stable&Apprentis,1
248500464,plomberie-chauffage-couverture&Stable&Intérimaires,0
248500464,menuiserie-charpente&A la hausse&CDD,1.5
248500464,menuiserie-charpente&A la hausse&CDI,4.71428571428571
248500464,menuiserie-charpente&A la hausse&Apprentis,1.16666666666667
248500464,menuiserie-charpente&A la hausse&Intérimaires,1
248500464,menuiserie-charpente&Stable&CDD,0
248500464,menuiserie-charpente&Stable&CDI,6.5
248500464,menuiserie-charpente&Stable&Apprentis,1.5
248500464,menuiserie-charpente&Stable&Intérimaires,0
248500464,maçonnerie-carrelage&A la hausse&CDD,1
248500464,maçonnerie-carrelage&A la hausse&CDI,5.25
248500464,maçonnerie-carrelage&A la hausse&Apprentis,1
248500464,maçonnerie-carrelage&A la hausse&Intérimaires,2
248500464,maçonnerie-carrelage&Stable&CDD,2
248500464,maçonnerie-carrelage&Stable&CDI,5.9
248500464,maçonnerie-carrelage&Stable&Apprentis,1.33333333333333
248500464,maçonnerie-carrelage&Stable&Intérimaires,1.33333333333333
248500464,Peinture&A la hausse&CDD,0
248500464,Peinture&A la hausse&CDI,4
248500464,Peinture&A la hausse&Apprentis,2
248500464,Peinture&A la hausse&Intérimaires,2
248500464,Peinture&Stable&CDD,1
248500464,Peinture&Stable&CDI,3
248500464,Peinture&Stable&Apprentis,1
248500464,Peinture&Stable&Intérimaires,2
248500464,Electricité&A la hausse&CDD,0
248500464,Electricité&A la hausse&CDI,1.5
248500464,Electricité&A la hausse&Apprentis,1
248500464,Electricité&A la hausse&Intérimaires,0
248500464,Electricité&Stable&CDD,0
248500464,Electricité&Stable&CDI,1.5
248500464,Electricité&Stable&Apprentis,1
248500464,Electricité&Stable&Intérimaires,0
