epci,annee,Electricité,maçonnerie-carrelage,menuiserie-charpente,Peinture,plâtrerie-isolation,plomberie-chauffage-couverture
200071678,2014,0,0,0,0,0,1
200071678,2015,0,1,0,0,0,0
200071678,2016,2,2,1,2,1,0
200071678,2017,2,5,0,0,0,1
244900809,2014,0,1,0,0,0,0
244900809,2015,0,2,2,0,0,0
244900809,2016,1,0,5,0,0,0
244900809,2017,3,1,4,1,0,0
244400552,2014,1,0,0,0,0,0
244400552,2015,0,0,0,0,0,0
244400552,2016,0,1,0,0,0,0
244400552,2017,0,0,0,0,0,0
200072726,2014,0,1,0,0,1,0
200072726,2015,1,0,0,0,0,0
200072726,2016,1,3,1,0,1,0
200072726,2017,0,3,0,0,0,0
244400404,2014,0,0,1,0,0,0
244400404,2015,1,4,0,0,0,0
244400404,2016,3,1,0,0,0,1
244400404,2017,7,5,2,1,0,0
244400644,2014,4,1,0,0,0,2
244400644,2015,1,0,0,0,1,2
244400644,2016,4,3,1,0,0,0
244400644,2017,2,7,2,2,0,1
243500741,2014,0,0,0,0,0,0
243500741,2015,0,1,0,0,1,0
243500741,2016,0,1,0,0,0,0
243500741,2017,0,1,0,0,0,0
200000438,2014,2,0,0,0,0,0
200000438,2015,1,0,0,0,0,0
200000438,2016,0,1,0,0,0,0
200000438,2017,0,0,0,0,0,0
200067866,2014,0,1,0,0,0,0
200067866,2015,2,2,0,0,0,0
200067866,2016,1,2,0,0,0,0
200067866,2017,0,3,1,0,0,0
200067346,2014,1,0,0,0,0,0
200067346,2015,2,0,0,1,0,0
200067346,2016,2,2,0,1,0,0
200067346,2017,0,1,1,0,0,0
244400503,2014,0,0,0,0,0,0
244400503,2015,1,0,0,0,0,0
244400503,2016,2,2,0,0,0,0
244400503,2017,1,2,0,0,0,0
244400610,2014,2,0,1,1,0,0
244400610,2015,1,1,0,0,0,0
244400610,2016,0,1,1,0,0,0
244400610,2017,1,3,3,0,0,1
244400586,2014,1,0,2,0,1,0
244400586,2015,1,0,2,0,0,0
244400586,2016,1,0,2,1,0,0
244400586,2017,0,0,2,0,0,0
200072734,2014,3,0,0,1,1,0
200072734,2015,1,3,0,0,1,0
200072734,2016,0,0,0,0,0,0
200072734,2017,0,1,1,0,0,0
245300223,2014,1,0,1,0,0,1
245300223,2015,2,0,0,0,1,2
245300223,2016,1,1,0,0,0,0
245300223,2017,2,0,0,0,0,0
245300330,2014,1,2,1,0,0,0
245300330,2015,1,0,0,0,0,0
245300330,2016,0,0,2,1,0,0
245300330,2017,3,0,1,0,0,0
200055887,2014,2,0,0,0,2,0
200055887,2015,2,4,1,2,0,1
200055887,2016,1,2,2,1,0,0
200055887,2017,1,0,2,0,1,0
245300389,2014,1,2,0,0,0,1
245300389,2015,5,0,0,0,0,0
245300389,2016,2,0,0,0,0,0
245300389,2017,1,1,1,0,0,0
247200686,2014,0,1,0,0,0,0
247200686,2015,0,1,0,0,0,0
247200686,2016,1,3,0,0,0,0
247200686,2017,2,1,1,0,0,0
247200629,2014,1,2,1,0,0,0
247200629,2015,1,1,0,1,0,0
247200629,2016,0,0,0,0,0,0
247200629,2017,0,1,0,0,3,0
247200447,2014,0,0,0,0,0,0
247200447,2015,1,0,0,0,0,0
247200447,2016,0,0,0,0,3,0
247200447,2017,1,0,0,0,1,0
200072718,2014,0,0,0,0,2,0
200072718,2015,0,0,0,0,0,1
200072718,2016,0,0,0,0,0,0
200072718,2017,0,2,0,0,0,0
200072676,2014,0,0,0,0,0,0
200072676,2015,0,0,0,0,0,0
200072676,2016,0,0,0,0,0,0
200072676,2017,0,0,0,1,0,0
246100663,2014,0,0,0,0,0,0
246100663,2015,0,0,0,0,0,0
246100663,2016,0,0,0,0,0,0
246100663,2017,0,0,0,0,0,0
