EPCI;Activité;Moyenne_Effectits;Moyenne_Zone_Intervention
200071678;menuiserie-charpente;7.8125;96.5
200071678;Métiers de la pierre;4;60.7142857142857
200071678;Peinture;4.125;67.5
200071678;plâtrerie-isolation;4.5;62.8571428571429
200071678;plomberie-chauffage-couverture;5;82.3913043478261
200071678;Travaux publics, Paysage;4.875;36.4285714285714
244900809;Electricité;0.75;41.4285714285714
244900809;maçonnerie-carrelage;8.26666666666667;55
244900809;menuiserie-charpente;5.1304347826087;104.090909090909
244900809;Peinture;5.25;113.75
244900809;plâtrerie-isolation;1.33333333333333;30
244900809;plomberie-chauffage-couverture;2.73684210526316;65.5263157894737
244900809;Travaux publics, Paysage;0;50
244400552;Autre;5;60
244400552;Electricité;1.6;36
244400552;maçonnerie-carrelage;5.5;37.2727272727273
244400552;menuiserie-charpente;5.5;67.5
244400552;Peinture;1.77777777777778;28.8888888888889
244400552;plomberie-chauffage-couverture;2.45833333333333;57.2727272727273
244400552;Travaux publics, Paysage;1.5;62.5
200072726;Autre;1.66666666666667;101.666666666667
200072726;Electricité;2.5;66.7857142857143
200072726;maçonnerie-carrelage;3.94117647058824;41.875
200072726;menuiserie-charpente;4.80555555555556;50.3125
200072726;Métiers de la pierre;5.5;65
200072726;Peinture;4;33.3333333333333
200072726;plâtrerie-isolation;0.2;62
200072726;plomberie-chauffage-couverture;3.44117647058824;107.741935483871
200072726;Travaux publics, Paysage;5;66.6666666666667
244400404;Autre;2.66666666666667;102.894736842105
244400404;Electricité;2.16216216216216;134.878787878788
244400404;maçonnerie-carrelage;3.82758620689655;44.8148148148148
244400404;menuiserie-charpente;3.36363636363636;78.016393442623
244400404;Métiers de la pierre;6;76.6666666666667
244400404;Peinture;2.37037037037037;94.8
244400404;plâtrerie-isolation;2.54545454545455;63.5714285714286
244400404;plomberie-chauffage-couverture;3.26470588235294;58.2446808510638
244400404;Travaux publics, Paysage;5;34.1666666666667
244400644;Autre;15.3333333333333;65
244400644;Electricité;0.857142857142857;48.5714285714286
244400644;maçonnerie-carrelage;2.73684210526316;47.2222222222222
244400644;menuiserie-charpente;6.95652173913043;45.7954545454545
244400644;Métiers de la pierre;2;150
244400644;Peinture;6.28571428571429;34.2857142857143
244400644;plâtrerie-isolation;3.57142857142857;45.7142857142857
244400644;plomberie-chauffage-couverture;4.02439024390244;71.7567567567568
243500741;Autre;0;70
243500741;Electricité;5.8;52
243500741;maçonnerie-carrelage;0;70
243500741;menuiserie-charpente;3.55555555555556;85.2777777777778
243500741;Métiers de la pierre;0;40
243500741;Peinture;4.5;45
243500741;plomberie-chauffage-couverture;2.90909090909091;50.4545454545455
200000438;Electricité;2.85714285714286;50
200000438;maçonnerie-carrelage;4.66666666666667;70
200000438;menuiserie-charpente;10.1666666666667;59.5833333333333
200000438;Peinture;9.75;62.5
200000438;plâtrerie-isolation;9;50
200000438;plomberie-chauffage-couverture;3;92.0833333333333
200067866;Autre;3;100
200067866;maçonnerie-carrelage;3.2;52.2222222222222
200067866;menuiserie-charpente;7;92.6
200067866;Métiers de la pierre;6;25
200067866;Peinture;2.52941176470588;36.9375
200067866;plâtrerie-isolation;0.666666666666667;35.8333333333333
200067866;plomberie-chauffage-couverture;4.31578947368421;48.6842105263158
200067866;Travaux publics, Paysage;0;NaN
200067346;Autre;1.66666666666667;73.3333333333333
200067346;Electricité;4.5;50
200067346;maçonnerie-carrelage;3.11111111111111;37.6666666666667
200067346;menuiserie-charpente;4.51612903225806;55.9677419354839
200067346;Peinture;5.5625;59.0625
200067346;plâtrerie-isolation;4.5;42.5
200067346;plomberie-chauffage-couverture;2.55555555555556;40
200067346;Travaux publics, Paysage;4;60
244400503;Autre;10;150
244400503;Electricité;2.625;51.875
244400503;maçonnerie-carrelage;3.42857142857143;84.2307692307692
244400503;menuiserie-charpente;4.40909090909091;90.6818181818182
244400503;Peinture;2;81.6666666666667
244400503;plâtrerie-isolation;11.5;42.5
244400503;plomberie-chauffage-couverture;2.81481481481481;49.2
244400503;Travaux publics, Paysage;0.666666666666667;45
244400610;Autre;2.125;78.125
244400610;Electricité;3.3;39.4444444444444
244400610;maçonnerie-carrelage;5.59090909090909;28.75
244400610;menuiserie-charpente;6.79411764705882;30.1764705882353
244400610;Peinture;1.5;42.5
244400610;plâtrerie-isolation;0;35
244400610;plomberie-chauffage-couverture;3.79166666666667;101.739130434783
244400586;Autre;1;40
244400586;Electricité;2.5;41.6666666666667
244400586;maçonnerie-carrelage;7.31578947368421;40.5263157894737
244400586;menuiserie-charpente;3.54545454545455;143.636363636364
244400586;Peinture;1.73333333333333;59.6428571428571
244400586;plâtrerie-isolation;3.5;50
244400586;plomberie-chauffage-couverture;5.5;34.1176470588235
244400586;Travaux publics, Paysage;4;60
200072734;Autre;4;82
200072734;Electricité;3.25;50
200072734;maçonnerie-carrelage;3.875;30
200072734;menuiserie-charpente;3.0625;84.375
200072734;Peinture;2.8;43.5
200072734;plâtrerie-isolation;2;30
200072734;plomberie-chauffage-couverture;3.04347826086957;49.7826086956522
245300223;Autre;0.6;96
245300223;Electricité;2.33333333333333;137.058823529412
245300223;maçonnerie-carrelage;2.25;49.2105263157895
245300223;menuiserie-charpente;2.42857142857143;59.1481481481481
245300223;Peinture;2;37
245300223;plâtrerie-isolation;2.46153846153846;54
245300223;plomberie-chauffage-couverture;3.48780487804878;48.8461538461538
245300223;Travaux publics, Paysage;3.6;56.25
245300330;Autre;2.16666666666667;126
245300330;Electricité;1.73684210526316;137.666666666667
245300330;maçonnerie-carrelage;3.55;70.8823529411765
245300330;menuiserie-charpente;2.19047619047619;56.7
245300330;Métiers de la pierre;9;111.666666666667
245300330;Peinture;0.75;40.4166666666667
245300330;plâtrerie-isolation;8;56.6666666666667
245300330;plomberie-chauffage-couverture;3.28571428571429;57.5
245300330;Travaux publics, Paysage;2.2;242
200055887;Autre;2.625;162.5
200055887;Electricité;3.27272727272727;43.3333333333333
200055887;maçonnerie-carrelage;2.93333333333333;42.5
200055887;menuiserie-charpente;3.3030303030303;67.5
200055887;Peinture;2.75;72.5
200055887;plâtrerie-isolation;2.25;100
200055887;plomberie-chauffage-couverture;3.45945945945946;40.8333333333333
200055887;Travaux publics, Paysage;9.8;70
245300389;Autre;26;45
245300389;Electricité;2.5;38.5714285714286
245300389;maçonnerie-carrelage;4.38888888888889;37.6470588235294
245300389;menuiserie-charpente;3.1025641025641;102.794117647059
245300389;Peinture;1.84210526315789;39.4736842105263
245300389;plâtrerie-isolation;3.14285714285714;38.2857142857143
245300389;plomberie-chauffage-couverture;5.03846153846154;94.5652173913043
245300389;Travaux publics, Paysage;1;43.3333333333333
247200686;Autre;7.66666666666667;415
247200686;Electricité;2.6;37.0833333333333
247200686;maçonnerie-carrelage;1.8695652173913;41.5909090909091
247200686;menuiserie-charpente;5.02777777777778;53.2352941176471
247200686;Peinture;5.57142857142857;52.5
247200686;plâtrerie-isolation;1.75;62.5
247200686;plomberie-chauffage-couverture;3.23076923076923;37.4
247200629;Autre;1;95
247200629;Electricité;1.39285714285714;46.3461538461538
247200629;maçonnerie-carrelage;2;42.5
247200629;menuiserie-charpente;1.67741935483871;75.9
247200629;Peinture;2.33333333333333;40
247200629;plâtrerie-isolation;0.2;45
247200629;plomberie-chauffage-couverture;1.64285714285714;38.0769230769231
247200447;Autre;0;150
247200447;Electricité;2.38095238095238;62.25
247200447;maçonnerie-carrelage;2;25
247200447;menuiserie-charpente;0.666666666666667;40
247200447;Peinture;1.42857142857143;55.8333333333333
247200447;plâtrerie-isolation;4.5;55
247200447;plomberie-chauffage-couverture;2.39130434782609;47.2727272727273
247200447;Travaux publics, Paysage;2.5;30
200072718;Autre;1.25;85
200072718;Electricité;2;55.4166666666667
200072718;maçonnerie-carrelage;0.8;56
200072718;menuiserie-charpente;4.86666666666667;127.142857142857
200072718;Peinture;1;200
200072718;plâtrerie-isolation;4.33333333333333;256.666666666667
200072718;plomberie-chauffage-couverture;3.33333333333333;26.6666666666667
200072718;Travaux publics, Paysage;8.83333333333333;107.5
200072676;Autre;0.5;70
200072676;maçonnerie-carrelage;0;75
200072676;menuiserie-charpente;3.75;88.3333333333333
200072676;Peinture;4.5;50
200072676;plomberie-chauffage-couverture;0;300
246100663;menuiserie-charpente;0;50
