CODGEO;LIBGEO;EPCI;LIBEPCI;DEP;REG;NOM_DEPT;NOM_REG,,
44067;Guémené-Penfao;243500741;CC du Pays de Redon;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44068;Guenrouet;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44082;Ligné;244400552;CC du Pays d'Ancenis;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44108;Mouzillon;200067866;CC Sèvre et Loire;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44170;Saint-Julien-de-Vouvantes;200072726;CC Châteaubriant-Derval;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44175;Saint-Lyphard;244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
85008;Aubigny-Les Clouzeaux;248500589;CA La Roche-sur-Yon;85;52;VENDEE;PAYS DE LA LOIRE,,
85058;Chasnais;200073260;CC Sud Vendée Littoral;85;52;VENDEE;PAYS DE LA LOIRE,,
85097;La Gaubretière;248500662;CC du Pays de Mortagne;85;52;VENDEE;PAYS DE LA LOIRE,,
85098;La Génétouze;200072882;CC de Vie et Boulogne;85;52;VENDEE;PAYS DE LA LOIRE,,
85104;Grues;200073260;CC Sud Vendée Littoral;85;52;VENDEE;PAYS DE LA LOIRE,,
85110;L'Hermenault;200071934;CC Pays de Fontenay-Vendée;85;52;VENDEE;PAYS DE LA LOIRE,,
85208;Saint-Denis-la-Chevasse;200072882;CC de Vie et Boulogne;85;52;VENDEE;PAYS DE LA LOIRE,,
85301;Vendrennes;248500621;CC du Pays des Herbiers;85;52;VENDEE;PAYS DE LA LOIRE,,
72035;Bessé-sur-Braye;200072692;CC des Vallées de la Braye et de l'Anille;72;52;SARTHE;PAYS DE LA LOIRE,,
72105;Courgenard;247200686;CC du Pays de l'huisne Sarthoise;72;52;SARTHE;PAYS DE LA LOIRE,,
72151;Juigné-sur-Sarthe;247200090;CC de Sablé-sur-Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72170;Louvigny;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72171;Louzes;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72172;Le Luart;247200686;CC du Pays de l'huisne Sarthoise;72;52;SARTHE;PAYS DE LA LOIRE,,
72229;Parennes;200072718;CC de la Champagne Conlinoise et du Pays de Sillé;72;52;SARTHE;PAYS DE LA LOIRE,,
72273;Saint-Christophe-du-Jambet;200072700;CC Haute Sarthe Alpes Mancelles;72;52;SARTHE;PAYS DE LA LOIRE,,
72274;Saint-Christophe-en-Champagne;200040475;CC Loué - Brûlon - Noyen;72;52;SARTHE;PAYS DE LA LOIRE,,
72276;Saint-Cosme-en-Vairais;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72290;Saint-Jean-d'Assé;200068963;CC Maine Coeur de Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72313;Saint-Pierre-des-Ormes;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72359;Torcé-en-Vallée;200072684;CC Le Gesnois Bilurien;72;52;SARTHE;PAYS DE LA LOIRE,,
72370;Vernie;200072700;CC Haute Sarthe Alpes Mancelles;72;52;SARTHE;PAYS DE LA LOIRE,,
72383;Vouvray-sur-Huisne;247200686;CC du Pays de l'huisne Sarthoise;72;52;SARTHE;PAYS DE LA LOIRE,,
85048;Chambretaud;248500662;CC du Pays de Mortagne;85;52;VENDEE;PAYS DE LA LOIRE,,
85053;La Chapelle-aux-Lys;248500415;CC du Pays de la Châtaigneraie;85;52;VENDEE;PAYS DE LA LOIRE,,
85064;Chauché;200071918;CC du Pays de Saint-Fulgent - les Essarts;85;52;VENDEE;PAYS DE LA LOIRE,,
85137;Marsais-Sainte-Radégonde;200071934;CC Pays de Fontenay-Vendée;85;52;VENDEE;PAYS DE LA LOIRE,,
85139;Le Mazeau;248500563;CC Vendée,Sèvre,Autise;85;52;VENDEE;PAYS DE LA LOIRE
85175;Les Pineaux;200073260;CC Sud Vendée Littoral;85;52;VENDEE;PAYS DE LA LOIRE,,
85201;Saint-Benoist-sur-Mer;200071900;CC Moutierrois Talmondais;85;52;VENDEE;PAYS DE LA LOIRE,,
85307;La Faute-sur-Mer;200073260;CC Sud Vendée Littoral;85;52;VENDEE;PAYS DE LA LOIRE,,
72023;Ballon-Saint Mars;200068963;CC Maine Coeur de Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72026;Beaufay;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72044;Bousse;247200348;CC du Pays Fléchois;72;52;SARTHE;PAYS DE LA LOIRE,,
53018;Ballots;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53067;Chémeré-le-Roi;245300223;CC du Pays de Meslay-Grez;53;52;MAYENNE;PAYS DE LA LOIRE,,
53099;Forcé;245300330;CA de Laval;53;52;MAYENNE;PAYS DE LA LOIRE,,
53119;L'Huisserie;245300330;CA de Laval;53;52;MAYENNE;PAYS DE LA LOIRE,,
53127;Lassay-les-Châteaux;200055887;CC Mayenne Communauté;53;52;MAYENNE;PAYS DE LA LOIRE,,
53134;Livet;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53142;Madré;200042182;CC du Mont des Avaloirs;53;52;MAYENNE;PAYS DE LA LOIRE,,
53144;Marcillé-la-Ville;200055887;CC Mayenne Communauté;53;52;MAYENNE;PAYS DE LA LOIRE,,
53228;Blandouet-Saint Jean;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53239;Saint-Martin-de-Connée;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53254;Saint-Sulpice;245300447;CC du Pays de Château-Gontier;53;52;MAYENNE;PAYS DE LA LOIRE,,
44018;Bouaye;244400404;Nantes Métropole;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
