intercommunalite.2017_EPCI,Année,CA Réalisé,Freq
247200686,2015,[100.000, 175.000],8
248500191,2015,[100.000, 175.000],5
248500258,2015,[100.000, 175.000],11
248500340,2015,[100.000, 175.000],3
248500415,2015,[100.000, 175.000],2
248500464,2015,[100.000, 175.000],2
248500530,2015,[100.000, 175.000],1
248500589,2015,[100.000, 175.000],11
248500621,2015,[100.000, 175.000],4
248500662,2015,[100.000, 175.000],0
200000438,2016,[100.000, 175.000],3
200023778,2016,[100.000, 175.000],6
200055887,2016,[100.000, 175.000],4
200060010,2016,[100.000, 175.000],1
200067346,2016,[100.000, 175.000],5
200067866,2016,[100.000, 175.000],3
200068955,2016,[100.000, 175.000],1
200070233,2016,[100.000, 175.000],5
200071546,2016,[100.000, 175.000],10
200071553,2016,[100.000, 175.000],9
200071678,2016,[100.000, 175.000],4
200071868,2016,[100.000, 175.000],4
200071876,2016,[100.000, 175.000],6
200071900,2016,[100.000, 175.000],1
200071918,2016,[100.000, 175.000],3
200071934,2016,[100.000, 175.000],3
200072676,2016,[100.000, 175.000],0
200072718,2016,[100.000, 175.000],3
200072726,2016,[100.000, 175.000],4
200072734,2016,[100.000, 175.000],2
200072882,2016,[100.000, 175.000],7
200073260,2016,[100.000, 175.000],3
243500741,2016,[100.000, 175.000],0
244400404,2016,[100.000, 175.000],14
244400503,2016,[100.000, 175.000],2
244400552,2016,[100.000, 175.000],1
244400586,2016,[100.000, 175.000],4
244400610,2016,[100.000, 175.000],4
244400644,2016,[100.000, 175.000],4
244900015,2016,[100.000, 175.000],9
244900809,2016,[100.000, 175.000],1
245300223,2016,[100.000, 175.000],12
245300330,2016,[100.000, 175.000],7
245300389,2016,[100.000, 175.000],6
246100663,2016,[100.000, 175.000],1
247200447,2016,[100.000, 175.000],1
247200629,2016,[100.000, 175.000],6
247200686,2016,[100.000, 175.000],1
248500191,2016,[100.000, 175.000],4
248500258,2016,[100.000, 175.000],9
248500340,2016,[100.000, 175.000],2
248500415,2016,[100.000, 175.000],3
248500464,2016,[100.000, 175.000],0
248500530,2016,[100.000, 175.000],2
248500589,2016,[100.000, 175.000],12
248500621,2016,[100.000, 175.000],4
248500662,2016,[100.000, 175.000],4
200000438,2017,[100.000, 175.000],3
200023778,2017,[100.000, 175.000],4
200055887,2017,[100.000, 175.000],4
200060010,2017,[100.000, 175.000],1
200067346,2017,[100.000, 175.000],5
200067866,2017,[100.000, 175.000],3
200068955,2017,[100.000, 175.000],0
200070233,2017,[100.000, 175.000],3
200071546,2017,[100.000, 175.000],12
200071553,2017,[100.000, 175.000],7
200071678,2017,[100.000, 175.000],3
200071868,2017,[100.000, 175.000],2
200071876,2017,[100.000, 175.000],6
200071900,2017,[100.000, 175.000],4
200071918,2017,[100.000, 175.000],2
200071934,2017,[100.000, 175.000],2
200072676,2017,[100.000, 175.000],0
200072718,2017,[100.000, 175.000],3
200072726,2017,[100.000, 175.000],6
200072734,2017,[100.000, 175.000],3
200072882,2017,[100.000, 175.000],2
200073260,2017,[100.000, 175.000],3
243500741,2017,[100.000, 175.000],0
244400404,2017,[100.000, 175.000],11
244400503,2017,[100.000, 175.000],5
244400552,2017,[100.000, 175.000],1
244400586,2017,[100.000, 175.000],2
244400610,2017,[100.000, 175.000],5
244400644,2017,[100.000, 175.000],1
244900015,2017,[100.000, 175.000],7
244900809,2017,[100.000, 175.000],3
245300223,2017,[100.000, 175.000],2
245300330,2017,[100.000, 175.000],4
245300389,2017,[100.000, 175.000],4
246100663,2017,[100.000, 175.000],0
247200447,2017,[100.000, 175.000],1
247200629,2017,[100.000, 175.000],4
247200686,2017,[100.000, 175.000],7
248500191,2017,[100.000, 175.000],2
248500258,2017,[100.000, 175.000],6
248500340,2017,[100.000, 175.000],1
248500415,2017,[100.000, 175.000],1
248500464,2017,[100.000, 175.000],2
248500530,2017,[100.000, 175.000],1
248500589,2017,[100.000, 175.000],3
248500621,2017,[100.000, 175.000],2
248500662,2017,[100.000, 175.000],2
200000438,2014,[175.000, 400.000],5
200023778,2014,[175.000, 400.000],18
200055887,2014,[175.000, 400.000],10
200060010,2014,[175.000, 400.000],7
200067346,2014,[175.000, 400.000],15
200067866,2014,[175.000, 400.000],11
200068955,2014,[175.000, 400.000],8
