Nom;Pays;Date_debut;Date_fin;Ville;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Audrey Horne;Norvège;NA;false;NA;3;0;0;0;0;0;Main 02;0;Main 01;0;0;Main 02;0
August Burns Red;Etats-Unis;2003-03;false;NA;3;0;0;0;Terrorizer tent;0;0;Main 02;0;0;0;Main 02;0
Aura Noir;Norvège;1993;false;NA;3;0;0;0;Rock Hard tent;0;0;0;Temple;0;0;Temple;0
Autopsy;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Altar
Ava Inferi;Portugal;2005;true;NA;1;0;0;Discover stage;0;0;0;0;0;0;0;0;0
Avantasia;Allemagne;2000;false;NA;1;0;0;0;0;0;0;0;Main 02;0;0;0;0
Avatar;Suède;NA;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Main 01
Avenged Sevenfold;Etats-Unis;1999;false;Huntington Beach;1;Main;0;0;0;0;0;0;0;Main 02;0;0;0
Avulsed;Espagne;1991-08;false;NA;1;0;0;0;0;0;0;Altar;0;0;0;0;0
Awekening Sun;Lithuanie;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;Metal Corner;0
Ays;Allemagne;NA;false;NA;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Azziard;France;2001;false;NA;1;0;0;0;0;0;0;0;0;Temple;0;0;0
Backfire;Pays-Bas;NA;false;NA;1;0;0;0;Terrorizer tent;0;0;0;0;0;0;0;0
Backtrack;Etats-Unis;2007;false;NA;1;0;0;0;0;0;0;0;0;0;0;Warzone;0
Backyard Babies;Suède;1987;false;Nässjö;2;0;0;0;Main 01;0;0;0;0;0;Main 02;0;0
Bad Brains;Etats-Unis;NA;NA;NA;1;0;0;0;0;0;Terrorizer tent;0;0;0;0;0;0
Bad Religion;Etats-Unis;1980;false;Los Angeles;2;0;0;0;0;0;0;0;Warzone;0;0;Warzone;0
Bain de Sang;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;Metal Corner;0
Bane;Etats-Unis;2006;false;NA;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
