name,longitude,latitude
Art Sol Atlantic EIRL,-2.4941374999999653,47.3654149
ARTUS ALAIN,-2.0980389999999716,46.8894751
Association OPA,-1.0180933000000323,46.876834
Association PEREN,0.18201320000002852,47.2099606
ATELIER BOBINAGE SORIN (ABS),-1.3048648000000185,46.9583733
ATELIER DE L'EBENE,-1.4413809999999785,46.5947805
atelier de mazerolles,-1.480327799999941,47.3954657
ATELIER JAROUSSEAU,-0.9474797999999964,46.9913503
ATELIER PEINTURE DECO,-1.8932369999999992,47.79733100000001
ATLANTIC JARDIN CONCEPT,-1.4314600000000155,46.7059426
ATLANTIQUE PRODUCTIONS,-1.9846981000000596,47.152531
Atlantique Répartition,-1.6667970999999397,47.6591821
ATLANTIS'DEPANNAGE,-1.323027799999977,46.3331159
ATOUT CARREAUX,-0.8477854999999863,47.8878745
AU BISTROT RONSARD,0.1569105999999465,47.6439339
AU CHARME DU BOIS,-0.7996980000000349,47.9194848
Au Cours des Halles / SARL RABOU,-0.6922586000000592,47.8312453
Auberge du lac,-1.4888502999999673,46.8461186
AUBERGE DU PONT ROUGE,0.16288269999995464,47.979035
AUBERT,-1.4551645000000235,47.3929447
AUBRY ATLANTIQUE,-1.4445038000000068,47.1064697
AUDECA,-0.5540269000000535,47.4695615
AUGER CEDRIC,-1.1650950000000648,46.550436
AUTO DESIGN 44,-1.6458431999999448,47.2265659
AUX GOURMANDISES DE LA VIE,-1.9393757999999934,46.6955201
Aux Saveurs du Terroir,-1.3022593000000597,46.3981803
AVM,-1.7573743000000377,47.3053258
AVRILLAUD,-1.4016410000000405,47.8395604
AVZ COIFFURE,0.6765533000000232,48.2275472
AXIMA REFRIGERATION FRANCE,-1.5879817000000003,47.27927
AYALA CONCEPT ET RÉALSATION,-1.6297862000000123,47.0528586
BABU Guy,-1.9389647000000423,46.806568
BANQUE CIC OUEST,-1.5450554000000238,47.21227649999999
BARBEAU,-1.7627109999999675,46.697457
BATI EXTENS,-1.344701299999997,47.1505915
BATI TECK,-1.1124783000000207,46.6241001
BATIMENT ROLAND GORGE,-1.3074110000000019,46.403764
BATISEVRE,-0.7951722999999902,46.8687285
BAUDRY AUTOMOBILES,-1.4421718999999484,46.6616835
BEAUSEJOUR,-0.3520343000000139,48.0979377
BEAUTE LOOK COIFFURE,0.29782350000004953,48.076472
Beauty Success,-1.5572065000000066,47.2142634
BELAUD GILDAS,-0.75028599999996,46.641667
BELL'S DIMINU'TIFS,-1.0253743000000668,47.2649442
BENJAMIN,-0.3304533000000447,47.4719095
BENOIT BRETAUDEAU,-1.2420549999999366,46.916539
BERNARD PIVETEAU,-1.266913299999942,47.0503186
BERNARD TEXIER,-1.3349829999999656,46.703929
BESNARD PATRICE,-1.083511000000044,46.907594
BESSON CHAUSSURES,-0.841261099999997,47.0773565
BETARD CLAUDE,-0.7484710999999606,46.64397590000001
BGC CONSTRUCTION,-1.3684025999999676,46.8692913
BIDAUD CHARPENTE MENUISERIE,-1.8859818999999334,47.5269826
bieres d'ailleurs,-1.6381381999999576,47.2316429
bijouterie julien d'Orcel,-0.529466100000036,47.39879089999999
BIJOUTERIE PORTEJOIE,-1.4287288000000444,46.6702053
BILHEU SARL,-0.7041855999999598,46.6942445
BILLAUD LOIC,-0.9722894000000224,46.9249578
BIOGASYL,-1.0420133999999734,46.8542366
BIVILLE,-1.560162900000023,47.2130521
BLANVILLAIN OPTIQUE,-0.5494971000000533,47.4699442
BLISS,0.15790960000003906,48.0625046
BM SAINT LAURENT,-1.4450917000000345,47.400004
BODARD CONSTRUCTIONS,-1.7193528000000242,46.556095
BONNIN CARRELAGES,-1.2816749999999502,46.835103
BONNIN DUGUE,-1.7692999999999302,46.817484
BORLIS SOLUTIONS,-0.8508996000000479,47.0698845
BOSSARD,-0.5784012000000303,46.731471
BOUCHERIE CHARCUTERIE SEGOUIN,0.49443700000006174,48.0608455
BOUCLE D'ART ET VELOURS,-1.511989500000027,46.9360825
BOUDAUD DOMINIQUE,-1.1738613999999643,46.8569804
BOUETE MODA CITY,-0.6863733999999795,47.8290179
BOULANGERIE DE GORGES,-1.3027875000000222,47.101963
Boulangerie isaac,-1.3843153999999913,47.412764
Boulangerie Jean-Marc EUSEBE,-0.4372792000000345,47.3948306
boulangerie patisserie letard loic,-1.5757836999999881,46.4172155
Boulangerie Pâtisserie NEAU,-0.4017003000000159,48.1557285
Boulangerie Romeur,-1.1622158999999783,46.4552273
BOUL'PAT ATLANTIQUE,-1.47493529999997,47.2681196
boutchou boutchutes,-0.8367547000000286,46.7825773
BOUTET ENTREPRISE,-0.7763201999999865,46.6214098
BOVAL- PRESSING DES BANCHAIS,-0.5112046000000419,47.4846772
BRANGEON,-1.5508460999999443,47.2981618
Brasserie de la Gare,-0.557942599999933,47.4644233
BREGEON MAUDET,-1.0382670999999846,46.85527099999999
BREMOND ADRIEN,-0.6998181000000159,47.1469732
